name,price,delivery_price,rating,seller,seller_rating,delivery_rating,stock
Safety Always 240 mm 8 Pads,Rs. 24,Rs. 70,0,Jasmine Hygiene Products,88%,100%,11
Mimicry Toy Dancing Cactus with Lights and Music - Repeat and Record | Cactus Rechargeable Musical Toy For Kids,Rs. 440,Rs. 70,0,Nepal Toys Store,78%,100%,15
Pack Of 3 Multicolor 100% Smell Proof Ankle Length Socks for Men and Women by Comfort Corner,Rs. 149,Rs. 70,0,Comfort Corner,87%,100%,15
Box white colour  Strap Design Crossbody  Shoulder Bag For Women,Rs. 399,Rs. 70,0,World Fashion Bag,81%,100%,15
Drools Puppy Chicken And Egg Dog Food - 400gms | Buy 2 Get 1 Free By Crown Aquatics,Rs. 245,Rs. 70,0,Crown Aquatics,91%,98%,15
Baba's Nappy Baby Pull Up Diaper- M (Pack of 50),Rs. 883,Rs. 70,0,Baba's Nappy,88%,100%,7
Water Absorbing Doormat Non-Slip Floor Mat For Bathroom Kitchen Bedroom Entrance With Water Proof Washable Rubber Mat,Rs. 245,Rs. 70,0,Online Home Appliances,75%,96%,15
TWS I12 Earbuds Bluetooth True Wireless Earbuds,Rs. 495,Rs. 70,4.5,New RC Store,76%,100%,15
Pampers Diapers Tape Style Pants New Born 72Pcs,"Rs. 1,535",Rs. 125,4.5,Procter & Gamble (P&G),94%,100%,15
"Natural Wood Clothes Hangers Suitable for Coat, Jacket, Suit, Sweater And Space Saving Wardrobe (12 Pieces)","Rs. 1,146",Rs. 70,4.5,SUNRISE FASHION STORE,83%,100%,15
Ultima Boom 141 ANC Earbuds (30 dB) | 45Hrs Playtime | Game Mode (40ms) | IPX5 Water Resistant | 13 mm Drivers For Deep Bass Wireless Earbuds,"Rs. 2,099",Rs. 70,4.5,Ultima Lifestyle,87%,Not enough data,15
ComfySlim 3 In 1 Postpartum Waist Support Recovery Belt For Women,Rs. 549,Rs. 70,4.5,THE PANDA,80%,95%,15
Sunsilk Shampoo Black Shine Shampoo 625Ml + conditioner 180ml (Combo Pack),Rs. 620,Rs. 70,4.5,Unilever,92%,Not enough data,15
New Casual Outdoor Comfortable Slipper Wedge Ladies Sandal By Chapals.np,Rs. 840,Rs. 70,4.3,Chapals.np,80%,100%,2
M10 Wireless TWS Earbuds  | 2 Hour Charging Time | 15hrs Back up | Glossy Finish,Rs. 574,Rs. 70,4.7,New RC Store,76%,100%,15
Shoes Cleaner Kit For Sneakers/Sports/Leather,Rs. 649,Rs. 70,4.6,Shoes Spot,76%,100%,15
"Ultima Watch Circle| 1.43"" Amoled Display |BT Calling Smartwatch| IP68 Waterproof| Zinc Alloy Metal Frame Smart watch","Rs. 3,799",Rs. 70,4.6,Ultima Lifestyle,87%,Not enough data,5
Brown PU Leather Casual Bi Fold Wallet For Men | Brown Solid Casual Wallet With 6 Card Holder Compartment,Rs. 365,Rs. 70,4.6,Online Express Fast Nepal Pvt.ltd.,81%,100%,2
TWS L21 Earbuds | Standby Time 15 hours | Music Time 3 hours Nonstop | Comfort fit & wide compatibility,Rs. 625,Rs. 70,4.6,Rahul Mobile Concern,72%,88%,15
5Pcs 6 Inch Multicolor Hooked Hanging Flower Pot,Rs. 798,Rs. 70,4.6,Sankalpa Garden Tools,91%,85%,15
The Psychology of Money By Morgan Housel,Rs. 135,Rs. 70,4.6,Lakhe Book Store,,Not enough data,15
Banana  Silicone Teether/ Baby Teether Silicone/ Teethers,Rs. 92,Rs. 70,4.6,Desire Online Shopping,81%,98%,15
boAt IMMORTAL 131 | Premium Gaming Earbuds | Up To 40 MS Low Latency | 40 Hours of Playtime | RGB Lights | ENx Noice Cancellation Tech | Fast Charging,"Rs. 2,849",Rs. 70,4.5,boAt,84%,96%,15
Arksh Food Dami Biscuit (Kodo/Millet) - 50gm x 12 Packets,Rs. 229,Rs. 70,4.5,Arksh Food,91%,100%,15
Drools Adult Dry Dog Food Chicken and Egg 3kg Pack  With Focus 200gms FREE By Crown Aquatics,"Rs. 1,180",Rs. 70,4.5,Crown Aquatics,91%,98%,15
Loose Pack 500gm Cat Food By Crown Aquatics,Rs. 255,Rs. 70,4.4,Crown Aquatics,91%,98%,15
4 In 1 Multifunction Baby Carry Bag,"Rs. 1,099",Rs. 70,4.4,Royal fitness,80%,95%,15
Titex White Color Simple Fashionable Sneakers For Women-1203,Rs. 900,Rs. 120,4.4,TITEX,84%,80%,1
Square Polycarbonate Frame Sunglasses For Men - Silver/Black Frame | Fashion Classic Design Sunglasses For Men,Rs. 440,Rs. 70,4.4,Smart buyer nepal pvt ltd,84%,100%,15
Digital Body Weighing Scale With Temperature And Weather Indicator,Rs. 890,Rs. 70,4.4,The Best Price Online,79%,98%,15
Didian Compressed High Energy Biscuit (Strawberry Milk Flavor) - 300 gm (15 gm x 20 packs),Rs. 260,Rs. 70,4.4,Arksh Food,91%,100%,15
Stainless Steel Copper Handi Set Of 5 Psc,"Rs. 1,680",Rs. 70,4.8,Om laxmi bada pasal,78%,96%,15
Shangrila Pack Of 4 Cotton T-Shirt For Men - Black | Navy |Grey | Maroon | Fashion | T-Shirt For Men |,Rs. 914,Rs. 70,4.5,SHANGRI-LA,87%,93%,11
Bagmati MP Rectangle Basket,Rs. 104,Rs. 70,4.5,Bagmati Plastics,88%,92%,15
Bella Vita Date Women Perfume 20 Ml,Rs. 351,Rs. 70,No rating, Bella Vita Organic,,Not enough data,15
3-Layer Metal Corner Clothes Rack with Shoe Storage and Coat Hanger | Space-Saving Floor Stand | 180 x 45 cm,"Rs. 1,399",Rs. 70,4.4,Home Essentials,75%,100%,15
Women Waist Shapewear | Women Panty Butt Lifter Shapewear | Tummy Control Panties | Shapewear Underwear Panties,Rs. 399,Rs. 70,4.4,Smart Buy Online,,100%,10
"KUB Mosquito Repellant Patches, 36 Pcs",Rs. 262,Rs. 70,4.4,KUB,92%,100%,15
Bandana Print Premium Fashion Sneakers For Men,"Rs. 1,999",Rs. 70,4.4,Shoes Spot,76%,100%,10
"Mens Solid Cuffed Sweatpants - Soft, Breathable, Regular Fit with Drawstring, Multiple Pockets for Jogging, Running, Fitness, and Everyday Wear - Versatile, Comfortable, and Stylish Trousers for Active Men",Rs. 999,Free,4.4,Fashion_House,71%,100%,10
USB Rechargeable Study Lamp,Rs. 579,Rs. 70,4.6,EOrison,83%,96%,15
Black Waterproof And Windproof Anti-Skid Protection Touch Screen Motorcycle Bike Riding Glove By Salesansar,Rs. 640,Rs. 70,4.3,Sale Sansar,85%,98%,15
PAXMOLY KOREA Brightening Vitamin C Facial Mask 1 sheet,Rs. 75,Rs. 70,4.3,Secret Island,91%,92%,2
"Shri Sri Dhan Laxmi Kuber Bhandari Yantra Generate A Source Of Income For You Decorative Showpiece - 20 Cm (Brass, Gold, Red)",Rs. 369,Rs. 70,3.6,PR mart,86%,100%,15
ProArt Vicky Paper Stumps Set Of 6  Blending Paper Stump For Artists - Pack Of 6  Durable Paper Blending Stump,Rs. 99,Rs. 70,3.6,Vicky Arts,92%,88%,15
Sakura Pigma Micron Pen - Set Of 6,Rs. 719,Rs. 70,3.6,Vicky Arts,92%,88%,15
Cotton Period Panties  / 3pcs Menstrual Heavy Flow Leak-Proof Period Panties,Rs. 449,Rs. 70,3.6,Smart Buy Online,,100%,15
"Hair Wax Stick Non-Greasy Hair Pomade Stick for Easy, Soft Styling & Strong Hold | Ideal for Neat & Tidy Look  For Women",Rs. 298,Rs. 70,3.6,LS Mall,90%,96%,15
boAt STONE 350 | Portable Bluetooth Speaker |Multi Compatibility |10 Watt |12 Hours Playback |TWS Feature for 2x Output |IPX7 Rating |Type C Charging,"Rs. 3,449",Rs. 70,3.6,boAt,84%,96%,15
Cold Weather Cotton Lined Warm Men's Thermal Set,Rs. 498,Rs. 70,3.0,skr store,73%,85%,15
Titex White Color Simple Fashionable Sneakers For Women-1202,Rs. 900,Rs. 120,3.0,TITEX,84%,80%,5
Thongs Underwear Panties Women Lace Underwear Sexy Breathable Hipster Panty Stretch Hollow Seamless Bikini Briefs (Crochet Lace Up Korean Panties),Rs. 109,Rs. 70,3.0,Savyata Stores,82%,99%,15
Safety Ultra XL+ 320 mm 8 Pads,Rs. 49,Rs. 70,4.4,Jasmine Hygiene Products,88%,100%,2
"Non-Stick Kitchen Silicone Fondant Rolling Stretchable Mat For Baking, Chapati Atta Kneading, Pastry Rolling",Rs. 299,Rs. 70,4.4,BfYmYB9v,80%,98%,15
MumBuds American UltraThin Baby Pants XL 36Pcs,"Rs. 1,065",Rs. 70,4.4,MumBuds USA,,Not enough data,15
24K Golden Playing Cards Waterproof Cards Golden Playing Card Set,Rs. 299,Rs. 70,4.4,E Bazzar,,Not enough data,3
3D Decor Crystal Ball LED Night Light - Solar System (6cm),Rs. 399,Rs. 70,4.4,Shree  Store,95%,100%,15
Iphone Three Pin Charger 20W Power Adapter With USB-C To Lightning Cable For X To 14 Pro Max,Rs. 799,Rs. 70,4.4,ElectraByte,82%,94%,15
Children My First Librarian Book ( Set of 10 ),Rs. 699,Rs. 70,4.3,Nepal Toys Store,78%,100%,15
Cute Cotton Terry Jacket For Women,"Rs. 1,247",Rs. 70,4.3,Tailor Stitch,83%,97%,9
Monster Trucks Inertia Car Toys For Kids | 360 Degree Stunt Flip Design 4 Wheel Drive Toy Car For Kids,Rs. 188,Rs. 70,4.3,Nepal Toys Store,78%,100%,1
"Baby Silicone Bibs - Waterproof, Easy Wipe Silicone Bib For Babies, Toddlers",Rs. 190,Rs. 70,4.4,Baby nest nepal,78%,98%,15
Sunsilk Hairfall Solution Shampoo 625 ml + Conditioner 180ml (Combo Pack),Rs. 620,Rs. 70,4.4,Unilever,92%,Not enough data,15
4 in 1 Fast Charging Cable (Type C/USB A/Lightning) Dual Type C PD 27W 65W Nylon Braided Cable | Flat Braided i-Phone Charging Cable with Velcro Multi Charging Cable Combo Type C/USB-A Ports,Rs. 399,Rs. 70,4.4,All In  One,,100%,14
Men's Splicing Pullover Hooded wind cheater,Rs. 474,Rs. 70,4.4,Lyra,,100%,5
SB Dunk Low Pro White/Coffee Premium Sneaker for Men,"Rs. 1,399",Rs. 70,4.4,The Shoe Gallery,82%,Not enough data,3
"7 in 1 Cleaner Kit, Multi-Function Earbud Cleaning Pen, Soft Brush Corner Gap Duster Keycap Puller Laptop Screen Cleaner",Rs. 249,Rs. 70,4.4,All In  One,,100%,14
Hair Mask Karseell Collagen 16.9 OZ 500ml,Rs. 849,Rs. 70,No rating,Parmeshwar cosmetic,83%,100%,15
2pcs Pal Pal Jaiphal Oil TM Regd. Original Pain Relief and Refreshment Massage Oil 200 ml,Rs. 560,Rs. 70,5.0,Galaxy shopping 1640505931,85%,100%,15
500Ml Coffee Mug Double Wall Stainless Steel Tumbler Vacuum Flask Bottle Thermos Tea Travel Mug,Rs. 490,Rs. 70,5.0,E-Market,85%,100%,15
"Ultima Atom 192 Bluetooth Truly Wireless Earbuds With Mic, 42H Playtime, Beast Mode(Low Latency 60Ms) For Gaming, Enx Tech, Asap Charge, Iwp, Ipx4","Rs. 1,999",Rs. 70,4.7,Ultima Lifestyle,87%,Not enough data,5
National Kitchenware Handy Quick Chopper,Rs. 399,Rs. 70,4.7,Newaa Store,78%,98%,15
Earbuds (1st German Copy ) Original,Rs. 650,Free,4.7,Aakar Store Nepal,,100%,15
MumBuds American UltraThin Baby Pants Medium 42Pcs​,"Rs. 1,065",Rs. 70,4.7,MumBuds USA,,Not enough data,15
Trendy One-Piece with Unique Designs – Perfect for Fall and Winter (Free Size),"Rs. 1,299",Rs. 70,4.7,Sweet Style,92%,100%,1
3 in 1 Wooden Educational Board,"Rs. 1,011",Rs. 70,4.7,Nepal Toys Store,78%,100%,14
Seamless Panties For Women's  | Invisible Design Smooth Stretch Fabric Seamless Panties (3 Pack) Colour Random,Rs. 449,Rs. 70,4.7,Smart Buy Online,,100%,15
Safari DAYPACKNEO Backpack | Zippered main compartment / Drawstring front compartment,Rs. 699,Rs. 70,4.7,Safari,89%,100%,15
Shoes Cleaner Kit For Shoes | Shoes / Sneaker Shampoo | Shoes Brightener | Brush | Towel by Comfort Corner,Rs. 699,Rs. 70,4.7,Comfort Corner,87%,100%,15
"Oil-Proof Self-Adhesive Kitchen Marble Sticker - 2M, PVC + Aluminum + Polyvinyl Material and White Design",Rs. 239,Rs. 70,4.8,Mero Interior,73%,100%,15
Wheel cover half for bike Unviersal for bike 17 inch (Black),Rs. 555,Rs. 120,4.8,Sasto Bazzar Birgunj,71%,93%,15
Lakme Eyeconic Kajal,Rs. 243,Rs. 70,4.8,LAKME,85%,100%,15
"Cetaphil Moisturising Cream for Face & Body 80 gm , Dry to very dry skin",Rs. 911,Rs. 70,4.8,Cetaphil,92%,33%,15
Natural Plant Color Temporary Body Art Tattoo Sticker - Best For Birthday Gift & Daily Wear (Looks Like Original And Permanent Tattoo),Rs. 85,Rs. 70,4.8,Savyata Stores,82%,99%,15
Art Ranger Artist Acrylic Color Set 12 Tubes Set Each 12ML,Rs. 342,Rs. 70,4.8,Vicky Arts,92%,88%,15
Pair Of Anti Uv Arm Sleeves - Multicolor,Rs. 148,Rs. 70,4.5,Sale Sansar,85%,98%,15
boAt Smartwatch WAVE CALL 2 | Bluetooth Calling | 1.83 Inch HD Display | 700 + Activities Modes | 1000 + Cloud Watch Faces | Crest OS+ App Support,"Rs. 3,149",Rs. 70,4.5,boAt,84%,96%,15
Pampers Diapers Baby Pants - XXL 42 pcs,"Rs. 1,844",Rs. 125,4.5,Procter & Gamble (P&G),94%,100%,11
Ultima Marvel 16W RMS Bluetooth Speaker with Ultima Supreme Sound | 12Hours Playtime | 50MM Driver Size | Surround Sound | Dynamic RGB LED Lights | IPX5 Rated speaker,"Rs. 2,799",Rs. 70,4.7,Ultima Lifestyle,87%,Not enough data,15
Pampers Diapers Baby Pants - Large 64 pcs,"Rs. 1,844",Rs. 125,4.7,Procter & Gamble (P&G),94%,100%,9
Keratin Almond Hair Treatment Cream 1000ml,Rs. 279,Rs. 70,4.7,LS Mall,90%,96%,15
Spn'S 6Mm Thick Double Color Anti-Slip Tpe Yoga Mat | Eco Friendly Lightweight Waterproof & Antiskid Yoga Mat,"Rs. 1,449",Rs. 70,4.7,SPN'S,91%,99%,9
Cetaphil Gentle Skin Cleanser - 500 ml,"Rs. 1,756",Rs. 70,4.7,Cetaphil,92%,33%,15
MuscleBlaze CREAPRO Creatine Monohydrate 250g 83 Servings Creapure Micronized Powder for Muscle and Strength Gain,"Rs. 2,600",Rs. 70,4.7,MuscleBlaze,92%,93%,9
"Laptop Cooling Pad 4 Fans Adjustable 10 Inch to 17 Inch Notebook Cooler, Blue Light, S18 For Any Laptop Speed Control Button","Rs. 1,802",Rs. 70,4.0,AB Tech,80%,100%,15
Resistance Pull Up Bands  Pull Up Assist Band,"Rs. 1,199",Rs. 70,4.0,SAM Prolife Nutrition Nepal,87%,99%,9
Technic Mega Matte  Blush,Rs. 645,Rs. 70,4.0,Technic,92%,100%,9
Pei Meii Vitamin C Serum 30 ml,Rs. 159,Rs. 70,5.0,Awesome Cosmetic,,100%,15
Nautica Voyage EDT For Men - 100ml,"Rs. 3,300",Rs. 120,5.0,Narayanghat Cosmetic,88%,Not enough data,15
Walnut Kernels (Guddhi) 500gm,Rs. 725,Rs. 50,5.0,Merokishan,88%,100%,15
UNO The Classic Playing Card Game,Rs. 145,Rs. 70,5.0,Sansa Store,78%,98%,15
Square Vintage Korean Tortoise Printed Frame Trendy Sunglasses for Men ( Case Not Included ),Rs. 142,Rs. 70,5.0,First Looks,,Not enough data,15
Sport Inner Compression Round Neck T-shirt Inner Men Compression Full Sleeve,Rs. 465,Rs. 70,5.0,Aryan Emporium,,97%,15
