name,price,delivery_price,rating,seller,seller_rating,delivery_rating,stock
RC Ultra Pods Earbuds Stereo Touch Control With Flash Light,Rs. 625,Rs. 70,4.5,Raj Corner,74%,91%,13
WhiteMoon Fluffy Triflod Series Flow Guard 240MM Sanitary Pads 8 Pcs Pack of 6,Rs. 270,Rs. 70,4.5,Birat Healthcare Industries,87%,100%,13
White Feather's Pure Silver Coin ( 5gm ) Lakshmi & Ganesh Engraved,Rs. 850,,4.5,White Feathers,84%,100%,0
Multi-Purpose C2 Kitchen Cleaner Spray For Kitchen And Bathroom [400Ml] - Stain Cleaning Spray For Home And Office Use |,Rs. 165,Rs. 70,4.5,The Best Price Online,79%,98%,5
8 Color Mode Solar Light Outdoor Waterproof Garden Sunlight-10 bulb,Rs. 519,Rs. 70,4.5,Magic Drop,83%,100%,15
4 in 1 Fast Charging Cable (Type C/USB A/Lightning) Dual Type C PD 27W 65W Nylon Braided Cable | Flat Braided i-Phone Charging Cable with Velcro Multi Charging Cable Combo Type C/USB-A Ports,Rs. 399,Rs. 70,4.5,All In  One,,100%,9
LCD Writing Tab 8.5 Inch With Pen Writing Pad,Rs. 132,Rs. 70,4.5,Nepal Toys Store,78%,100%,15
Psychology Of Money Morgan Housel,Rs. 160,Rs. 70,4.5,Sasto Ma Book,86%,79%,12
The Power Of Your Subconscious Mind By Joseph Murphy,Rs. 138,Rs. 70,4.5,Sasto Ma Book,86%,79%,12
Box white colour  Strap Design Crossbody  Shoulder Bag For Women,Rs. 399,Rs. 70,4.5,World Fashion Bag,81%,100%,15
2 Liter Water Bottle With Straw Portable Travel Bottles Fitness Motivational Big Gym Bottle,Rs. 480,Rs. 70,4.5,7Rings,85%,99%,15
Pal Pal Jaiphal Oil TM Regd.Original Pain Relief and Refreshment Massage Oil 200 ml,Rs. 389,Rs. 70,4.5,Dashain Dhamaka,85%,100%,3
Mimicry Toy Dancing Cactus with Lights and Music - Repeat and Record | Cactus Rechargeable Musical Toy For Kids,Rs. 440,Rs. 70,4.5,Nepal Toys Store,78%,100%,10
One Piece Anime Bounty Wanted Poster Of Straw Hat Crew and 4 Emperors Yonko (Premium Quality No Blurred Image) Wanted 14 Poster Set,Rs. 388,Rs. 70,4.5,ANIMEco,94%,97%,3
Storage Box Foldable Large Capacity Oxford Cloth Clothes Sundries Organizer Case For Household 66ltr,Rs. 499,Rs. 70,4.5,7Rings,85%,99%,15
"Viral Silvertek - 3000W Multiplug with C-Type Port, 3 USB Port & 6 charging port | Hot & Trendy item | Hot selling",Rs. 689,Rs. 70,4.5,Crazy NepDeals,91%,100%,15
Loose Pack Adult Dog Food 500gm By Crown Aquatics,Rs. 150,Rs. 70,4.3,Crown Aquatics,91%,98%,15
Portable Rechargeable Two Way Rotation Drill Machine With Various Size Drill Bits And Dual Battery - Drill Machine |,"Rs. 3,069",Rs. 70,4.3,James Store Nepal,85%,100%,4
"Premium Kojic Acid Soap by Zuwa Cosmetics, Exfoliates, Smoothens, Lightens - 135 gm",Rs. 250,Rs. 70,4.3,Allure Cosmetics,87%,96%,15
Pack Of 2 Storage Box Foldable Large Capacity Oxford Cloth Clothes Sundries Organizer Case For Household 66ltr,Rs. 989,Rs. 70,4.3,7Rings,85%,99%,5
